[2016/4/14 - 12:57:58] [DEBUG] Army Bos (113.180.81.79) VIP het han (Thoi gian su dung VIP: 1460536672 | Level: 3)
[2016/4/14 - 12:59:15] [DEBUG] Army Danh (115.78.202.74) VIP het han (Thoi gian su dung VIP: 1460593138 | Level: 3)
[2016/4/14 - 13:01:33] [DEBUG] Linh Sam (113.176.171.123) VIP het han (Thoi gian su dung VIP: 1460549674 | Level: 3)
[2016/4/14 - 13:36:11] [DEBUG] Yakuza Nam (115.78.89.53) VIP het han (Thoi gian su dung VIP: 1460515625 | Level: 3)
[2016/4/14 - 13:39:57] [DEBUG] Thien Khanh (115.75.5.203) VIP het han (Thoi gian su dung VIP: 1460538475 | Level: 3)
[2016/4/14 - 13:43:33] [DEBUG] yakuza rccc (115.79.57.95) VIP het han (Thoi gian su dung VIP: 1460515047 | Level: 3)
[2016/4/14 - 13:49:07] [DEBUG] BUP BE (113.176.171.123) VIP het han (Thoi gian su dung VIP: 1460549674 | Level: 3)
[2016/4/14 - 13:58:17] [DEBUG] yakuza rccc (115.79.57.95) VIP het han (Thoi gian su dung VIP: 1460515047 | Level: 3)
[2016/4/14 - 15:06:45] [DEBUG] Teddy Edward (113.170.87.17) VIP het han (Thoi gian su dung VIP: 1460619182 | Level: 3)
[2016/4/14 - 15:13:15] [DEBUG] Martynekes Kaijoger (117.3.102.159) VIP het han (Thoi gian su dung VIP: 1460556590 | Level: 3)
[2016/4/14 - 15:24:18] [DEBUG] Martynekes Kaijoger (117.3.102.159) VIP het han (Thoi gian su dung VIP: 1460556590 | Level: 3)
[2016/4/14 - 16:16:16] [DEBUG] Tan Dat (115.78.116.40) VIP het han (Thoi gian su dung VIP: 1460519353 | Level: 3)
[2016/4/14 - 16:28:40] [DEBUG] Yakuza Nam (115.78.89.53) VIP het han (Thoi gian su dung VIP: 1460515625 | Level: 3)
[2016/4/14 - 16:31:41] [DEBUG] Yakuza Nam (115.78.89.53) VIP het han (Thoi gian su dung VIP: 1460515625 | Level: 3)
[2016/4/14 - 16:36:53] [DEBUG] Soai Ca (117.0.39.184) VIP het han (Thoi gian su dung VIP: 1460617140 | Level: 3)
[2016/4/14 - 16:37:34] [DEBUG] Soai Ca (117.0.39.184) VIP het han (Thoi gian su dung VIP: 1460617140 | Level: 3)
[2016/4/14 - 17:03:30] [DEBUG] Army Bos (113.180.81.79) VIP het han (Thoi gian su dung VIP: 1460536672 | Level: 3)
[2016/4/14 - 17:15:02] [DEBUG] Jackson MArtinez (14.167.77.110) VIP het han (Thoi gian su dung VIP: 1460618707 | Level: 3)
[2016/4/14 - 17:27:35] [DEBUG] Nobita Dinh (113.174.17.120) VIP het han (Thoi gian su dung VIP: 1460595445 | Level: 3)
[2016/4/14 - 17:56:06] [DEBUG] Toan mui (42.118.164.230) VIP het han (Thoi gian su dung VIP: 1460547367 | Level: 3)
[2016/4/14 - 17:56:11] [DEBUG] Army Danh (115.75.209.204) VIP het han (Thoi gian su dung VIP: 1460593138 | Level: 3)
[2016/4/14 - 17:57:28] [DEBUG] Thien Khanh (14.161.7.128) VIP het han (Thoi gian su dung VIP: 1460538475 | Level: 3)
[2016/4/14 - 18:00:12] [DEBUG] Gia Hao (42.118.164.229) VIP het han (Thoi gian su dung VIP: 1460547614 | Level: 3)
[2016/4/14 - 18:01:54] [DEBUG] Huynh Tong Khoa (117.3.36.83) VIP het han (Thoi gian su dung VIP: 1460535146 | Level: 3)
[2016/4/14 - 18:02:03] [DEBUG] Army Danh (115.75.209.204) VIP het han (Thoi gian su dung VIP: 1460593138 | Level: 3)
[2016/4/14 - 18:09:40] [DEBUG] Huynh Tong Khoa (117.3.36.83) VIP het han (Thoi gian su dung VIP: 1460535146 | Level: 3)
[2016/4/14 - 18:11:29] [DEBUG] Gia Hao (42.118.164.229) VIP het han (Thoi gian su dung VIP: 1460547614 | Level: 3)
[2016/4/14 - 18:14:14] [DEBUG] Thien Khanh (14.161.7.128) VIP het han (Thoi gian su dung VIP: 1460538475 | Level: 3)
[2016/4/14 - 18:14:43] [DEBUG] Gia Hao (42.118.164.229) VIP het han (Thoi gian su dung VIP: 1460547614 | Level: 3)
[2016/4/14 - 18:15:22] [DEBUG] Dao Tran (117.3.0.71) VIP het han (Thoi gian su dung VIP: 1460631724 | Level: 3)
[2016/4/14 - 18:29:41] [DEBUG] Dao Tran (117.3.0.71) VIP het han (Thoi gian su dung VIP: 1460631724 | Level: 3)
[2016/4/14 - 18:30:37] [DEBUG] Dao Tran (117.3.0.71) VIP het han (Thoi gian su dung VIP: 1460631724 | Level: 3)
[2016/4/14 - 18:32:01] [DEBUG] Thong Luu (115.79.33.192) VIP het han (Thoi gian su dung VIP: 1460550702 | Level: 3)
[2016/4/14 - 18:33:03] [DEBUG] Dao Tran (117.3.0.71) VIP het han (Thoi gian su dung VIP: 1460631724 | Level: 3)
[2016/4/14 - 18:34:09] [DEBUG] Dao Tran (117.3.0.71) VIP het han (Thoi gian su dung VIP: 1460631724 | Level: 3)
[2016/4/14 - 18:55:21] [DEBUG] Gia Hao (42.118.164.229) VIP het han (Thoi gian su dung VIP: 1460547614 | Level: 3)
[2016/4/14 - 19:03:52] [DEBUG] Army Danh (115.75.209.204) VIP het han (Thoi gian su dung VIP: 1460593138 | Level: 3)
[2016/4/14 - 19:10:26] [DEBUG] Thien Khanh (14.161.7.128) VIP het han (Thoi gian su dung VIP: 1460538475 | Level: 3)
[2016/4/14 - 19:24:03] [DEBUG] Jack Robert (42.118.122.223) VIP het han (Thoi gian su dung VIP: 1460469611 | Level: 3)
[2016/4/14 - 19:24:21] [DEBUG] Hoang Long (14.174.54.163) VIP het han (Thoi gian su dung VIP: 1460519583 | Level: 3)
[2016/4/14 - 19:26:42] [DEBUG] Jack Robert (42.118.122.223) VIP het han (Thoi gian su dung VIP: 1460469611 | Level: 3)
[2016/4/14 - 19:35:07] [DEBUG] Hoang Long (14.174.54.163) VIP het han (Thoi gian su dung VIP: 1460519583 | Level: 3)
[2016/4/14 - 19:35:27] [DEBUG] Com Nam (14.187.96.232) VIP het han (Thoi gian su dung VIP: 1460627386 | Level: 3)
[2016/4/14 - 19:41:37] [DEBUG] Richard Bao (14.173.152.61) VIP het han (Thoi gian su dung VIP: 1460632354 | Level: 3)
[2016/4/14 - 19:44:00] [DEBUG] Hoang Long (14.174.54.163) VIP het han (Thoi gian su dung VIP: 1460519583 | Level: 3)
[2016/4/14 - 19:47:04] [DEBUG] Jack Robert (42.118.122.223) VIP het han (Thoi gian su dung VIP: 1460469611 | Level: 3)
[2016/4/14 - 19:47:20] [DEBUG] LDT Minh (183.91.15.220) VIP het han (Thoi gian su dung VIP: 1460469324 | Level: 3)
[2016/4/14 - 19:48:32] [DEBUG] Hao pp (14.185.221.57) VIP het han (Thoi gian su dung VIP: 1460614116 | Level: 3)
[2016/4/14 - 19:51:38] [DEBUG] Richard Bao (14.173.152.61) VIP het han (Thoi gian su dung VIP: 1460632354 | Level: 3)
[2016/4/14 - 19:52:45] [DEBUG] Jav Trung (117.2.41.222) VIP het han (Thoi gian su dung VIP: 1460467041 | Level: 3)
[2016/4/14 - 20:04:26] [DEBUG] Lonnie Pin (113.177.135.66) VIP het han (Thoi gian su dung VIP: 1460549102 | Level: 3)
[2016/4/14 - 20:11:36] [DEBUG] Thien Khanh (14.161.7.128) VIP het han (Thoi gian su dung VIP: 1460538475 | Level: 3)
[2016/4/14 - 20:15:23] [DEBUG] Jav Trung (113.174.23.147) VIP het han (Thoi gian su dung VIP: 1460467041 | Level: 3)
[2016/4/14 - 20:15:47] [DEBUG] Teddy Edward (113.170.87.17) VIP het han (Thoi gian su dung VIP: 1460619182 | Level: 3)
[2016/4/14 - 20:16:46] [DEBUG] Jav Trung (113.174.23.146) VIP het han (Thoi gian su dung VIP: 1460467041 | Level: 3)
[2016/4/14 - 20:20:25] [DEBUG] Jav Trung (117.2.41.222) VIP het han (Thoi gian su dung VIP: 1460467041 | Level: 3)
[2016/4/14 - 20:21:06] [DEBUG] Yakuza Binn (101.99.52.46) VIP het han (Thoi gian su dung VIP: 1460601911 | Level: 3)
